attribute_name,attribute_value,fpr,for,fnr,fpr_disparity,for_disparity,fnr_disparity
capital-gain,0.00-99999.00,0.03956539565395654,0.12966747167007245,0.42822085889570555,1.000001,1.000001,1.000001
capital-loss,0.00-3900.00,0.03956539565395654,0.12966747167007245,0.42822085889570555,1.000001,1.000001,1.000001
hours-per-week,1.00-40.00,0.02459893048128342,0.10103499260719566,0.49278846153846156,1.000001,1.000001,1.000001
hours-per-week,40.00-45.00,0.06761565836298933,0.20606060606060606,0.3756906077348066,2.748724503017175,2.03949841315595,0.7623780381350221
hours-per-week,45.00-99.00,0.09568261376896149,0.22110552763819097,0.3565640194489465,3.8897072553903915,2.1884064418433633,0.7235650589793255
native-country, ?,0.0375,0.1348314606741573,0.4444444444444444,0.951236465116279,1.0205356764819835,1.0372702441657957
native-country, Cambodia,0.0,0.5,0.5,1e-06,3.7844837586206896,1.1669288996865204
native-country, Canada,0.16666666666666666,0.23076923076923078,0.375,4.2277141782945735,1.7466853501326258,0.8751969247648904
native-country, China,0.0,0.0,0.0,1e-06,1e-06,1e-06
native-country, Columbia,0.0,0.1,1.0,1e-06,0.756897551724138,2.333856799373041
native-country, Cuba,0.0,0.1,0.3333333333333333,1e-06,0.756897551724138,0.777952933124347
native-country, Dominican-Republic,0.0,0.0,,1e-06,1e-06,1e-06
native-country, Ecuador,0.0,0.0,,1e-06,1e-06,1e-06
native-country, El-Salvador,0.0,0.0,0.0,1e-06,1e-06,1e-06
native-country, England,0.125,0.125,0.25,3.17078588372093,0.9461216896551724,0.5834649498432602
native-country, France,0.0,0.0,,1e-06,1e-06,1e-06
native-country, Germany,0.0,0.2777777777777778,0.45454545454545453,1e-06,2.1024914214559387,1.0608445451695638
native-country, Greece,0.0,0.2,1.0,1e-06,1.5137941034482758,2.333856799373041
native-country, Guatemala,0.0,0.0625,1.0,1e-06,0.47306134482758616,2.333856799373041
native-country, Haiti,0.1,0.0,0.0,2.5366289069767443,1e-06,1e-06
native-country, Honduras,0.0,0.0,0.0,1e-06,1e-06,1e-06
native-country, Hong,0.3333333333333333,0.0,0.0,8.455427356589146,1e-06,1e-06
native-country, Hungary,0.0,0.0,0.0,1e-06,1e-06,1e-06
native-country, India,0.16666666666666666,0.09090909090909091,0.125,4.2277141782945735,0.6880887742946709,0.2917329749216301
native-country, Iran,0.3333333333333333,0.0,0.0,8.455427356589146,1e-06,1e-06
native-country, Ireland,0.0,0.0,0.0,1e-06,1e-06,1e-06
native-country, Italy,0.14285714285714285,0.4,0.5,3.62375515282392,3.027587206896552,1.1669288996865204
native-country, Jamaica,0.0,0.09090909090909091,0.5,1e-06,0.6880887742946709,1.1669288996865204
native-country, Japan,0.0,0.25,0.25,1e-06,1.8922423793103447,0.5834649498432602
native-country, Laos,0.0,0.0,,1e-06,1e-06,1e-06
native-country, Mexico,0.0,0.05970149253731343,0.7272727272727273,1e-06,0.45187953834276884,1.6973506722713023
native-country, Nicaragua,0.0,0.125,1.0,1e-06,0.9461216896551724,2.333856799373041
native-country, Outlying-US(Guam-USVI-etc),0.0,0.0,,1e-06,1e-06,1e-06
native-country, Peru,0.0,0.0,,1e-06,1e-06,1e-06
native-country, Philippines,0.03571428571428571,0.18181818181818182,0.4,0.9059395382059799,1.3761765485893416,0.9335433197492164
native-country, Poland,0.0,0.2727272727272727,0.75,1e-06,2.0642643228840125,1.7503928495297807
native-country, Portugal,0.0,0.2,0.5,1e-06,1.5137941034482758,1.1669288996865204
native-country, Puerto-Rico,0.041666666666666664,0.08,0.6666666666666666,1.0569292945736433,0.6055182413793103,1.5559048662486938
native-country, Scotland,0.0,0.5,0.5,1e-06,3.7844837586206896,1.1669288996865204
native-country, South,0.23076923076923078,0.09090909090909091,0.5,5.853757708407872,0.6880887742946709,1.1669288996865204
native-country, Taiwan,0.2,0.2,0.25,5.073256813953488,1.5137941034482758,0.5834649498432602
native-country, Trinadad&Tobago,0.0,0.0,,1e-06,1e-06,1e-06
native-country, United-States,0.03942241576896631,0.13211845102505695,0.42847548690396237,1.000001,1.000001,1.000001
native-country, Vietnam,0.0,0.0,,1e-06,1e-06,1e-06
native-country, Yugoslavia,1.0,1.0,1.0,25.36628006976744,7.568966517241379,2.333856799373041
